STATION_ID,STATION_NAME,FULL_STATION_NAME,STATION_NUMBER,STATION_TYPE,LATITUDE,LONGITUDE,STATUS,COUNTY_NAME,SAMPLE_CODE,SAMPLE_DATE,SAMPLE_DEPTH,SAMPLE_DEPTH_UNITS,PARAMETER,RESULT,REPORTING_LIMIT,UNITS,METHOD_NAME
192,LYTLE CRK NR SB,Lytle Creek near San Bernardino,Y3165000,Surface Water,34.2309,-117.483,Review Status Unknown,San Bernardino,LRA1100B5006,2000-11-08T11:30:00,0.5,Meters,Dissolved Potassium,2.2,0.5,mg/L,EPA 200.7 (D)
192,LYTLE CRK NR SB,Lytle Creek near San Bernardino,Y3165000,Surface Water,34.2309,-117.483,Review Status Unknown,San Bernardino,LRA1199A0354,1999-11-16T11:30:00,0.5,Meters,Dissolved Potassium,1.9,0.5,mg/L,EPA 200.7 (D)
192,LYTLE CRK NR SB,Lytle Creek near San Bernardino,Y3165000,Surface Water,34.2309,-117.483,Review Status Unknown,San Bernardino,LRA1198A2760,1998-11-23T14:15:00,0.5,Meters,Dissolved Potassium,2.4,0.5,mg/L,EPA 200.7 (D)
192,LYTLE CRK NR SB,Lytle Creek near San Bernardino,Y3165000,Surface Water,34.2309,-117.483,Review Status Unknown,San Bernardino,LRA0102B0413,2002-01-30T12:30:00,0.5,Meters,Dissolved Potassium,1.7,0.5,mg/L,EPA 200.7 (D)
192,LYTLE CRK NR SB,Lytle Creek near San Bernardino,Y3165000,Surface Water,34.2309,-117.483,Review Status Unknown,San Bernardino,LRA0200B0324,2000-02-15T11:00:00,0.5,Meters,Dissolved Potassium,3.2,0.5,mg/L,EPA 200.7 (D)
192,LYTLE CRK NR SB,Lytle Creek near San Bernardino,Y3165000,Surface Water,34.2309,-117.483,Review Status Unknown,San Bernardino,LRA0299A0060,1999-02-17T12:00:00,0.5,Meters,Dissolved Potassium,2.3,0.5,mg/L,EPA 200.7 (D)
192,LYTLE CRK NR SB,Lytle Creek near San Bernardino,Y3165000,Surface Water,34.2309,-117.483,Review Status Unknown,San Bernardino,LRA0201B5152,2001-02-22T12:00:00,0.5,Meters,Dissolved Potassium,2.1,0.5,mg/L,EPA 200.7 (D)
192,LYTLE CRK NR SB,Lytle Creek near San Bernardino,Y3165000,Surface Water,34.2309,-117.483,Review Status Unknown,San Bernardino,LRA0502B0439,2002-05-02T12:30:00,0.5,Meters,Dissolved Nitrate,0.3,0.1,mg/L,EPA 300.0
192,LYTLE CRK NR SB,Lytle Creek near San Bernardino,Y3165000,Surface Water,34.2309,-117.483,Review Status Unknown,San Bernardino,LRA0502B0439,2002-05-02T12:30:00,0.5,Meters,Dissolved Potassium,2.2,0.5,mg/L,EPA 200.7 (D)
192,LYTLE CRK NR SB,Lytle Creek near San Bernardino,Y3165000,Surface Water,34.2309,-117.483,Review Status Unknown,San Bernardino,LRA0500B0394,2000-05-03T12:00:00,0.5,Meters,Dissolved Potassium,1.6,0.5,mg/L,EPA 200.7 (D)
192,LYTLE CRK NR SB,Lytle Creek near San Bernardino,Y3165000,Surface Water,34.2309,-117.483,Review Status Unknown,San Bernardino,LRA0102B0413,2002-01-30T12:30:00,0.5,Meters,Dissolved Nitrate,1.8,0.1,mg/L,EPA 300.0 28d Hold
192,LYTLE CRK NR SB,Lytle Creek near San Bernardino,Y3165000,Surface Water,34.2309,-117.483,Review Status Unknown,San Bernardino,LRA0598A1182,1998-05-07T11:45:00,0.15,Meters,Dissolved Potassium,1.8,0.5,mg/L,EPA 200.7 (D)
192,LYTLE CRK NR SB,Lytle Creek near San Bernardino,Y3165000,Surface Water,34.2309,-117.483,Review Status Unknown,San Bernardino,LRA0501B5561,2001-05-08T12:45:00,0.5,Meters,Dissolved Nitrate,1.1,0.1,mg/L,EPA 300.0
192,LYTLE CRK NR SB,Lytle Creek near San Bernardino,Y3165000,Surface Water,34.2309,-117.483,Review Status Unknown,San Bernardino,LRA0501B5561,2001-05-08T12:45:00,0.5,Meters,Dissolved Potassium,1.8,0.5,mg/L,EPA 200.7 (D)
192,LYTLE CRK NR SB,Lytle Creek near San Bernardino,Y3165000,Surface Water,34.2309,-117.483,Review Status Unknown,San Bernardino,LRA0599A0141,1999-05-26T11:30:00,0.5,Meters,Dissolved Potassium,1.6,0.5,mg/L,EPA 200.7 (D)
192,LYTLE CRK NR SB,Lytle Creek near San Bernardino,Y3165000,Surface Water,34.2309,-117.483,Review Status Unknown,San Bernardino,LRA0802B0048,2002-08-07T10:00:00,0.5,Meters,Dissolved Nitrate,0.5,0.1,mg/L,EPA 300.0
192,LYTLE CRK NR SB,Lytle Creek near San Bernardino,Y3165000,Surface Water,34.2309,-117.483,Review Status Unknown,San Bernardino,LRA0802B0048,2002-08-07T10:00:00,0.5,Meters,Dissolved Potassium,2.2,0.5,mg/L,EPA 200.7 (D)
192,LYTLE CRK NR SB,Lytle Creek near San Bernardino,Y3165000,Surface Water,34.2309,-117.483,Review Status Unknown,San Bernardino,LRA0898A2085,1998-08-05T11:45:00,0.5,Meters,Dissolved Potassium,2.4,0.5,mg/L,EPA 200.7 (D)
192,LYTLE CRK NR SB,Lytle Creek near San Bernardino,Y3165000,Surface Water,34.2309,-117.483,Review Status Unknown,San Bernardino,LRA0801B5741,2001-08-09T11:00:00,0.5,Meters,Dissolved Nitrate,0.7,0.1,mg/L,EPA 300.0
192,LYTLE CRK NR SB,Lytle Creek near San Bernardino,Y3165000,Surface Water,34.2309,-117.483,Review Status Unknown,San Bernardino,LRA0801B5741,2001-08-09T11:00:00,0.5,Meters,Dissolved Potassium,2,0.5,mg/L,EPA 200.7 (D)
192,LYTLE CRK NR SB,Lytle Creek near San Bernardino,Y3165000,Surface Water,34.2309,-117.483,Review Status Unknown,San Bernardino,LRA0800B4754,2000-08-15T12:00:00,0.5,Meters,Dissolved Potassium,1.9,0.5,mg/L,EPA 200.7 (D)
192,LYTLE CRK NR SB,Lytle Creek near San Bernardino,Y3165000,Surface Water,34.2309,-117.483,Review Status Unknown,San Bernardino,LRA1101B0273,2001-11-07T12:00:00,0.5,Meters,Dissolved Potassium,2.2,0.5,mg/L,EPA 200.7 (D)
192,LYTLE CRK NR SB,Lytle Creek near San Bernardino,Y3165000,Surface Water,34.2309,-117.483,Review Status Unknown,San Bernardino,LRA0899A0266,1999-08-26T11:30:00,0.5,Meters,Dissolved Potassium,2.3,0.5,mg/L,EPA 200.7 (D)
192,LYTLE CRK NR SB,Lytle Creek near San Bernardino,Y3165000,Surface Water,34.2309,-117.483,Review Status Unknown,San Bernardino,LRA1101B0273,2001-11-07T12:00:00,0.5,Meters,Dissolved Nitrate,0.5,0.1,mg/L,EPA 300.0
192,LYTLE CRK NR SB,Lytle Creek near San Bernardino,Y3165000,Surface Water,34.2309,-117.483,Review Status Unknown,San Bernardino,LRA1100B5006,2000-11-08T11:30:00,0.5,Meters,Dissolved Nitrate,0.5,0.1,mg/L,EPA 300.0
256,DKA39800,DKA39800,DKA39800,Surface Water,34.4001,-117.347,Review Status Unknown,San Bernardino,OM0193A0003,1993-01-07T06:30:00,1,Feet,Dissolved Selenium,0,0.001,mg/L,EPA 270.3 (D)
256,DKA39800,DKA39800,DKA39800,Surface Water,34.4001,-117.347,Review Status Unknown,San Bernardino,OM0193A0003,1993-01-07T06:30:00,1,Feet,Dissolved Phosphorus,2.5,0.01,mg/L as P,EPA 365.4 DWR Modified
357,Check 66,CALIFORNIA AQU A INL TO MOJAVE SI,KA040341,Surface Water,34.336,-117.304,Review Status Unknown,San Bernardino,OM0573A0206,1973-05-16T12:15:00,1,Feet,Dissolved Potassium,3.8,0.1,mg/L,EPA 258.1
357,Check 66,CALIFORNIA AQU A INL TO MOJAVE SI,KA040341,Surface Water,34.336,-117.304,Review Status Unknown,San Bernardino,OM0584A0179,1984-05-16T10:17:00,1,Feet,Dissolved Nitrate,0.27,0.01,mg/L as N,EPA 353.2 (DWR Modified)
357,Check 66,CALIFORNIA AQU A INL TO MOJAVE SI,KA040341,Surface Water,34.336,-117.304,Review Status Unknown,San Bernardino,OM0584A0179,1984-05-16T10:17:00,1,Feet,Dissolved Phosphorus,0.07,0.01,mg/L as P,EPA 365.4 DWR Modified
357,Check 66,CALIFORNIA AQU A INL TO MOJAVE SI,KA040341,Surface Water,34.336,-117.304,Review Status Unknown,San Bernardino,OM0584A0179,1984-05-16T10:17:00,1,Feet,Dissolved Potassium,2.4,0.1,mg/L,EPA 258.1
357,Check 66,CALIFORNIA AQU A INL TO MOJAVE SI,KA040341,Surface Water,34.336,-117.304,Review Status Unknown,San Bernardino,OM0584A0179,1984-05-16T10:17:00,1,Feet,Dissolved Selenium,0,0.001,mg/L,EPA 270.3 (D)
357,Check 66,CALIFORNIA AQU A INL TO MOJAVE SI,KA040341,Surface Water,34.336,-117.304,Review Status Unknown,San Bernardino,OM0588A0219,1988-05-16T13:45:00,1,Feet,Dissolved Selenium,0,0.001,mg/L,EPA 270.3 (D)
357,Check 66,CALIFORNIA AQU A INL TO MOJAVE SI,KA040341,Surface Water,34.336,-117.304,Review Status Unknown,San Bernardino,OM0590A0202,1990-05-16T12:30:00,1,Feet,Dissolved Nitrate,0.55,0.01,mg/L as N,EPA 353.2 (DWR Modified)
357,Check 66,CALIFORNIA AQU A INL TO MOJAVE SI,KA040341,Surface Water,34.336,-117.304,Review Status Unknown,San Bernardino,OM0590A0202,1990-05-16T12:30:00,1,Feet,Dissolved Phosphorus,0.12,0.01,mg/L as P,EPA 365.4 DWR Modified
357,Check 66,CALIFORNIA AQU A INL TO MOJAVE SI,KA040341,Surface Water,34.336,-117.304,Review Status Unknown,San Bernardino,OM0590A0202,1990-05-16T12:30:00,1,Feet,Dissolved Selenium,0,0.001,mg/L,EPA 270.3 (D)
357,Check 66,CALIFORNIA AQU A INL TO MOJAVE SI,KA040341,Surface Water,34.336,-117.304,Review Status Unknown,San Bernardino,S0518B0165,2018-05-16T08:00:00,0.3,Meters,Dissolved Nitrate,1.3,0.1,mg/L,EPA 300.0 28d Hold
